,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
0,['万科金域蓝湾一期 4室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,万科金域蓝湾一期,成华,建设路,4室2厅1厨2卫,低楼层 (共35层),87.42㎡,暂无数据,67.23㎡,塔楼,东,钢混结构,简装,两梯四户,有,2021/12/15,商品房,2010/5/19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['新东方 4室1厅 南'],200,13849,新东方,成华,猛追湾,4室1厅1厨2卫,高楼层 (共9层),144.42㎡,平层,暂无数据,板塔结合,南,框架结构,精装,一梯四户,有,2021/11/21,商品房,2016/5/30,普通住宅,满五年,非共有,"
                                有抵押 140万元
                              ",已上传房本照片,,,,
2,['招商雍华府一期 7室4厅 南'],350,12911,招商雍华府一期,成华,驷马桥,7室4厅1厨4卫,低楼层 (共18层),271.09㎡,跃层,228.84㎡,板塔结合,南,钢混结构,简装,两梯六户,有,2021/12/3,商品房,2013/12/23,普通住宅,满五年,非共有,"
                                有抵押 220万元
                              ",已上传房本照片,,,,
3,['金城小区 3室2厅 南'],113,9964,金城小区,成华,猛追湾,3室2厅1厨2卫,中楼层 (共7层),113.41㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯六户,无,2021/12/2,商品房,2000/2/21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
4,['中国铁建北湖国际城二期 3室1厅 东南 南'],150,18034,中国铁建北湖国际城二期,成华,龙潭寺,3室1厅1厨1卫,高楼层 (共35层),83.18㎡,平层,暂无数据,板塔结合,东南 南,钢混结构,精装,三梯八户,有,2021/12/18,商品房,2019/8/15,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['荣盛香榭兰庭一期 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,荣盛香榭兰庭一期,成华,东客站,3室1厅1厨2卫,低楼层 (共29层),85.74㎡,平层,65.47㎡,塔楼,东北,钢混结构,简装,三梯八户,有,2021/12/16,商品房,2016/8/31,普通住宅,满五年,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片,,,,
6,['胜天人居 2室1厅 南'],89.8,12776,胜天人居,成华,万年场,2室1厅1厨1卫,中楼层 (共33层),70.29㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯八户,有,2021/12/18,经济适用房,2018/9/28,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,,,,
7,['城投东庐 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,城投东庐,成华,万年场,3室2厅1厨2卫,高楼层 (共33层),88.98㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯六户,有,2021/12/18,限价商品房,2016/11/16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
8,['观城 3室2厅 东 西'],暂无数据,首付及贷款情况请咨询经纪人,观城,成华,万象城,3室2厅1厨1卫,中楼层 (共33层),88.64㎡,平层,70.54㎡,板塔结合,东 西,钢混结构,精装,两梯五户,有,2021/12/12,商品房,2015/2/2,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
9,['上东壹号丽景苑 3室1厅 南'],159,18521,上东壹号丽景苑,成华,动物园,3室1厅1厨1卫,中楼层 (共18层),85.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯六户,有,2021/12/12,商品房,2018/12/15,普通住宅,满两年,共有,"
                                有抵押 40万元 成都银行
                              ",已上传房本照片,,,,
