,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
0,['中环丰锦 3室1厅 东南 西北'],415,26922,中环丰锦,高新,高朋,3室1厅1厨2卫,高楼层 (共18层),154.15㎡,平层,140㎡,板塔结合,东南 西北,钢混结构,精装,两梯三户,有,2021-12-18,商品房,2018-07-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['北大资源颐和翡翠府 4室2厅 西'],318,24862,北大资源颐和翡翠府,高新,远大,4室2厅1厨2卫,中楼层 (共28层),127.91㎡,平层,暂无数据,板楼,西,钢混结构,简装,两梯四户,有,2021-12-17,商品房,2019-04-04,普通住宅,满两年,共有,"
                                有抵押 60万元 建行 业主自还
                              ",已上传房本照片,,,,
2,['中海兰庭 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,中海兰庭,高新,大源,4室2厅1厨1卫,中楼层 (共32层),88.98㎡,跃层,暂无数据,板塔结合,南,钢混结构,精装,三梯五户,有,2021-12-15,商品房,2009-07-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
3,['远大都市风景三期 3室2厅 南'],218,18952,远大都市风景三期,高新,远大,3室2厅1厨1卫,高楼层 (共18层),115.03㎡,平层,94.4㎡,板楼,南,钢混结构,简装,两梯两户,有,2021-12-16,商品房,2015-09-25,普通住宅,满五年,共有,"
                                有抵押 100万元 中信银行 金融公司垫资
                              ",已上传房本照片,,,,
4,['御廷上郡 3室2厅 东南 南'],199,22956,御廷上郡,高新,中和,3室2厅1厨1卫,低楼层 (共33层),86.69㎡,平层,68.91㎡,板塔结合,东南 南,钢混结构,简装,两梯六户,有,2021-12-16,商品房,2013-11-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['美洲花园城南公馆 3室2厅 东南'],193,17185,美洲花园城南公馆,高新,新北,3室2厅1厨2卫,低楼层 (共11层),112.31㎡,平层,98.42㎡,板楼,东南,框架结构,简装,两梯四户,有,2021-11-25,商品房,2011-12-30,普通住宅,满五年,共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,,,,
6,['中德英伦联邦B区 3室2厅 西北 北'],283,31888,中德英伦联邦B区,高新,中德,3室2厅1厨2卫,中楼层 (共33层),88.75㎡,平层,暂无数据,板塔结合,西北 北,钢混结构,精装,三梯六户,有,2021-12-18,商品房,2015-12-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['凯德世纪名邸 3室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,凯德世纪名邸,高新,大源,3室2厅1厨1卫,中楼层 (共22层),92.04㎡,平层,暂无数据,板塔结合,东,钢混结构,简装,两梯六户,有,2021-12-17,商品房,2018-06-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
8,['瑞升花园 2室1厅 东'],128,15983,瑞升花园,高新,芳草,2室1厅1厨1卫,低楼层 (共15层),80.09㎡,平层,暂无数据,塔楼,东,框架结构,简装,两梯八户,有,2021-12-16,商品房,2012-12-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
9,['南城都汇汇晴园五期 3室2厅 东南'],252,28022,南城都汇汇晴园五期,高新,市一医院,3室2厅1厨1卫,低楼层 (共18层),89.93㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯两户,有,2021-12-09,商品房,2018-07-27,普通住宅,满两年,非共有,"
                                有抵押 195万元 哈尔滨银行 金融公司垫资
                              ",已上传房本照片,,,,
10,['东苑D区 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,东苑D区,高新,东苑,3室1厅1厨1卫,低楼层 (共32层),101.26㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-12-18,商品房,2012-09-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
11,['兴元丽都 3室2厅 北'],198,18099,兴元丽都,高新,新北,3室2厅1厨2卫,高楼层 (共13层),109.4㎡,平层,96.44㎡,板楼,北,框架结构,精装,一梯四户,有,2021-12-05,商品房,2018-08-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
12,['公馆1881 4室2厅 南 北'],800,37172,公馆1881,高新,城南宜家,4室2厅1厨4卫,中楼层 (共19层),215.22㎡,平层,175.46㎡,板楼,南 北,钢混结构,精装,三梯两户,有,2021-12-03,商品房,2015-12-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
13,['润新花园一期 2室1厅 东南'],90,13768,润新花园一期,高新,新北,2室1厅1厨1卫,高楼层 (共6层),65.37㎡,平层,57.47㎡,板楼,东南,砖混结构,精装,一梯四户,无,2021-12-08,商品房,2016-01-19,普通住宅,满五年,共有,"
                                有抵押 25万元 中国银行 业主自还
                              ",已上传房本照片,,,,
14,['嘉年华国际社区 4室2厅 南 北'],450,17880,嘉年华国际社区,高新,远大,4室2厅1厨3卫,低楼层 (共29层),251.69㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,三梯两户,有,2021-12-09,商品房,2018-02-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
15,['绿地之窗 2室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,绿地之窗,高新,新会展,2室1厅1厨1卫,高楼层 (共32层),77.07㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-12-18,商品房,2016-08-19,普通住宅,满五年,共有,"
                                有抵押 90万元 客户偿还
                              ",已上传房本照片,,,,
