,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
0,['世纪朝阳 2室1厅 东南'],195,21827,世纪朝阳,锦江,九眼桥,2室1厅1厨1卫,高楼层 (共26层),89.34㎡,平层,暂无数据,板塔结合,东南,框架结构,精装,两梯四户,有,2021-11-19,商品房,2010-02-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['三圣街49号 3室1厅 南'],93.7,16811,三圣街49号,锦江,合江亭,3室1厅1厨1卫,低楼层 (共7层),55.74㎡,平层,55.74㎡,板塔结合,南,混合结构,简装,一梯五户,无,2021-11-28,商品房,2018-02-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
2,['三圣街49号 3室1厅 南'],140,17812,三圣街49号,锦江,合江亭,3室1厅1厨1卫,中楼层 (共7层),78.6㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-12-11,商品房,2000-07-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
3,['东糠市街3号 2室1厅 东南'],99,18209,东糠市街3号,锦江,合江亭,2室1厅1厨1卫,低楼层 (共7层),54.37㎡,平层,暂无数据,塔楼,东南,混合结构,简装,一梯四户,无,2021-12-13,商品房,2014-03-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
4,['柳江新居二期 2室1厅 东南'],105,14280,柳江新居二期,锦江,琉璃场,2室1厅1厨1卫,高楼层 (共6层),73.53㎡,平层,65.39㎡,板楼,东南,框架结构,精装,一梯三户,无,2021-12-16,商品房,2010-03-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['融创四海逸家 4室2厅 东南 西北'],暂无数据,首付及贷款情况请咨询经纪人,融创四海逸家,锦江,卓锦城,4室2厅1厨2卫,低楼层 (共38层),97.64㎡,跃层,暂无数据,塔楼,东南 西北,钢混结构,精装,两梯四户,有,2021-12-09,商品房,2015-05-12,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
6,['鑫苑名家二期 3室2厅 东北 东'],268,24201,鑫苑名家二期,锦江,卓锦城,3室2厅1厨2卫,高楼层 (共34层),110.74㎡,平层,暂无数据,板塔结合,东北 东,钢混结构,精装,两梯六户,有,2021-12-15,商品房,2014-01-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['星河名都 3室2厅 东南'],400,26577,星河名都,锦江,合江亭,3室2厅1厨2卫,中楼层 (共12层),150.51㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯四户,有,2021-12-08,商品房,2016-07-27,普通住宅,满五年,共有,"
                                有抵押 50万元 工商组合 业主自还
                              ",已上传房本照片,,,,
8,['人居锦尚春天A区 3室2厅 东南'],175,19635,人居锦尚春天A区,锦江,三圣乡,3室2厅1厨1卫,高楼层 (共34层),89.13㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,2021-12-16,限价商品房,2019-08-09,普通住宅,满两年,非共有,"
                                有抵押 15万元 工行 业主自还
                              ",已上传房本照片,,,,
9,['锦上花 2室2厅 南 北'],146,15808,锦上花,锦江,合江亭,2室2厅1厨1卫,中楼层 (共11层),92.36㎡,平层,暂无数据,板塔结合,南 北,框架结构,精装,一梯两户,无,2021-12-03,商品房,2004-03-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
10,['莲花南路12号 2室1厅 东'],65,10750,莲花南路12号,锦江,莲花,2室1厅1厨1卫,低楼层 (共6层),60.47㎡,平层,55.61㎡,板楼,东,框架结构,简装,一梯两户,暂无数据,2021-12-01,商品房,2016-10-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
11,['锦江东湖花园 3室2厅 南 西 北'],366,26301,锦江东湖花园,锦江,三官堂,3室2厅1厨2卫,低楼层 (共7层),139.16㎡,平层,123.88㎡,板楼,南 西 北,钢混结构,精装,一梯两户,有,2021-08-06,商品房,2012-05-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
12,['翡翠城五期 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,翡翠城五期,锦江,东湖,3室1厅1厨2卫,中楼层 (共32层),89.06㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯六户,有,2021-12-01,商品房,2012-08-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
13,['锦江国际花园 3室1厅 东南'],152,18036,锦江国际花园,锦江,川师,3室1厅1厨1卫,低楼层 (共42层),84.28㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,三梯八户,有,2021-12-06,商品房,2017-08-30,普通住宅,满两年,共有,"
                                有抵押 80万元 金融公司垫资
                              ",已上传房本照片,,,,
14,['东南苑 1室1厅 东'],56,12913,东南苑,锦江,三官堂,1室1厅1厨1卫,低楼层 (共7层),43.37㎡,平层,43㎡,板楼,东,混合结构,简装,一梯四户,无,2021-11-26,商品房,2010-12-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
15,['绿地锦天府 3室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,绿地锦天府,锦江,攀成钢,3室2厅1厨2卫,高楼层 (共30层),184.83㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,三梯三户,有,2021-11-23,商品房,2018-11-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
16,['蓝润锦江春天 3室1厅 南 北'],242,22792,蓝润锦江春天,锦江,三圣乡,3室1厅1厨2卫,中楼层 (共33层),106.18㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-12-11,商品房,2017-09-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
17,['沙河壹号二期 3室1厅 北'],暂无数据,首付及贷款情况请咨询经纪人,沙河壹号二期,锦江,沙河堡,3室1厅1厨1卫,低楼层 (共34层),84.14㎡,平层,69.13㎡,板塔结合,北,框架结构,毛坯,两梯六户,有,2021-12-13,商品房,2014-12-15,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
18,['塔子山壹号 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,塔子山壹号,锦江,沙河堡,3室2厅1厨1卫,中楼层 (共34层),82.22㎡,平层,62.53㎡,塔楼,西南,钢混结构,精装,两梯四户,有,2021-12-11,商品房,2016-01-23,普通住宅,满五年,共有,"
                                有抵押 190万元 兴业银行 客户偿还
                              ",已上传房本照片,,,,
19,['锦江城市花园三期 2室1厅 西北'],115,20967,锦江城市花园三期,锦江,三圣乡,2室1厅1厨1卫,中楼层 (共34层),54.85㎡,平层,45㎡,板塔结合,西北,钢混结构,精装,两梯十一户,有,2021-12-15,商品房,2013-04-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
20,['锦江城市花园一期 4室1厅 南'],298,21521,锦江城市花园一期,锦江,三圣乡,4室1厅1厨2卫,低楼层 (共34层),138.47㎡,平层,120.45㎡,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-18,商品房,2018-03-16,普通住宅,满两年,共有,"
                                有抵押 80万元 客户偿还
                              ",已上传房本照片,,,,
21,['东湖国际 3室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,东湖国际,锦江,东湖,3室2厅1厨1卫,低楼层 (共31层),87.46㎡,平层,暂无数据,塔楼,西北,钢混结构,其他,三梯七户,有,2021-12-10,商品房,2013-04-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
22,['东城美地 3室1厅 东南'],95,15794,东城美地,锦江,蓝谷地,3室1厅1厨1卫,高楼层 (共34层),60.15㎡,平层,46.81㎡,板楼,东南,钢混结构,简装,三梯十四户,有,2021-12-15,商品房,2018-05-16,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
23,['卓锦城二期 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,卓锦城二期,锦江,卓锦城,3室2厅1厨2卫,低楼层 (共24层),126.58㎡,平层,102.06㎡,板塔结合,西南,框架结构,简装,两梯四户,有,2021-12-17,商品房,2008-11-06,普通住宅,满五年,共有,"
                                有抵押 130万元
                              ",已上传房本照片,,,,
24,['绿地468公馆二期 3室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,绿地468公馆二期,锦江,三圣乡,3室2厅1厨1卫,中楼层 (共33层),89.24㎡,平层,72.56㎡,板塔结合,东北,钢混结构,精装,两梯六户,有,2021-12-12,商品房,2017-05-24,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,,,,
25,['拱背桥街25号 2室1厅 东南'],108,17256,拱背桥街25号,锦江,合江亭,2室1厅1厨1卫,中楼层 (共7层),62.59㎡,暂无数据,暂无数据,板楼,东南,混合结构,精装,一梯两户,无,2021-08-10,商品房,2014-09-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
