,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
0,['禾嘉利好 3室2厅 东'],122.5,13364,禾嘉利好,金牛,金牛万达,3室2厅1厨1卫,低楼层 (共18层),91.67㎡,平层,暂无数据,板楼,东,框架结构,简装,两梯四户,有,2021-10-28,商品房,2013-08-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['金华公寓 3室2厅 东南 东北'],205,16436,金华公寓,金牛,马鞍路,3室2厅1厨2卫,中楼层 (共26层),124.73㎡,平层,124.73㎡,板楼,东南 东北,框架结构,简装,三梯八户,有,2021-12-18,商品房,2015-04-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
2,['锦城名都 3室2厅 东北'],229,20465,锦城名都,金牛,营门口,3室2厅1厨2卫,中楼层 (共33层),111.9㎡,平层,100㎡,板塔结合,东北,钢混结构,精装,两梯九户,有,2021-12-16,商品房,2011-11-11,普通住宅,满五年,共有,"
                                有抵押 100万元 业主自还
                              ",已上传房本照片,,,,
3,['正成拉斐 2室1厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,正成拉斐,金牛,国宾,2室1厅1厨1卫,中楼层 (共18层),60.09㎡,平层,50.16㎡,塔楼,西北,钢混结构,简装,两梯六户,有,2021-12-20,商品房,2013-12-25,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
4,['金牛万达B组团 3室1厅 东南'],200,18294,金牛万达B组团,金牛,金牛万达,3室1厅1厨1卫,中楼层 (共32层),109.33㎡,平层,暂无数据,塔楼,东南,框架结构,简装,三梯六户,有,2021-12-15,商品房,2014-10-29,普通住宅,满五年,非共有,"
                                有抵押 120万元 金融公司垫资
                              ",已上传房本照片,,,,
5,['西城星座 3室1厅 南'],152,12360,西城星座,金牛,国宾,3室1厅1厨2卫,低楼层 (共18层),122.98㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯七户,有,2021-12-13,商品房,2008-08-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
6,['益民苑 3室2厅 南'],108,12305,益民苑,金牛,蜀汉路,3室2厅1厨1卫,低楼层 (共7层),87.77㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-12-12,已购公房,2013-09-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['西青路57号 3室2厅 南'],155,12202,西青路57号,金牛,通惠门,3室2厅1厨2卫,低楼层 (共7层),127.03㎡,平层,127㎡,板楼,南,砖混结构,毛坯,一梯两户,无,2021-12-12,商品房,2012-10-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
8,['星辉中路6号 3室2厅 东南'],185,14729,星辉中路6号,金牛,马鞍路,3室2厅1厨2卫,中楼层 (共7层),125.61㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯四户,无,2021-12-03,商品房,2017-03-06,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
9,['碧桂园城市花园 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,碧桂园城市花园,金牛,天回镇,3室2厅1厨2卫,中楼层 (共31层),93.28㎡,平层,75㎡,板楼,西南,框架结构,精装,两梯六户,有,2021-12-01,商品房,2019-12-20,普通住宅,满两年,共有,"
                                有抵押 80万元 农行 客户偿还
                              ",已上传房本照片,,,,
10,['平福里 3室2厅 东南'],132,15373,平福里,金牛,金牛万达,3室2厅1厨1卫,高楼层 (共17层),85.87㎡,平层,68.22㎡,板楼,东南,钢混结构,精装,两梯六户,有,2021-12-05,商品房,2013-01-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
11,['保利公园里 4室2厅 东 西'],暂无数据,首付及贷款情况请咨询经纪人,保利公园里,金牛,天回镇,4室2厅1厨2卫,中楼层 (共25层),138.93㎡,平层,113.68㎡,板塔结合,东 西,钢混结构,精装,两梯五户,有,2021-05-18,商品房,2019-09-27,普通住宅,满两年,非共有,"
                                有抵押 60万元 工行 客户偿还
                              ",已上传房本照片,,,,
12,['东原亲亲里 3室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,东原亲亲里,金牛,国宾,3室2厅1厨2卫,高楼层 (共20层),87.58㎡,平层,70㎡,塔楼,东北,框架结构,精装,两梯八户,有,2021-12-01,商品房,2017-07-19,普通住宅,满两年,非共有,"
                                有抵押 20万元 中国银行 业主自还
                              ",已上传房本照片,,,,
13,['状元府邸(金牛) 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,状元府邸(金牛),金牛,一品天下,3室2厅1厨1卫,中楼层 (共33层),94.29㎡,平层,71.03㎡,塔楼,东南,框架结构,精装,三梯九户,有,2021-11-26,商品房,2015-11-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
14,['泉水人家三期A区 3室2厅 南'],94.8,13368,泉水人家三期A区,金牛,华侨城,3室2厅1厨1卫,低楼层 (共6层),70.92㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯三户,无,2021-12-09,商品房,2019-08-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
15,['富丽碧蔓汀 2室1厅 东南'],145,23686,富丽碧蔓汀,金牛,金牛万达,2室1厅1厨1卫,高楼层 (共26层),61.22㎡,平层,47.86㎡,板塔结合,东南,钢混结构,简装,两梯六户,有,2021-12-08,商品房,2011-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
16,['锦城花园 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,锦城花园,金牛,一品天下,3室2厅1厨1卫,高楼层 (共11层),147.17㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,有,2021-12-11,商品房,2003-12-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
17,['泉水人家二期A区 3室2厅 南'],128,15729,泉水人家二期A区,金牛,华侨城,3室2厅1厨1卫,中楼层 (共16层),81.38㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,2021-12-13,商品房,2011-12-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
18,['锦城苑(金牛) 3室2厅 东南'],170,12920,锦城苑(金牛),金牛,茶店子,3室2厅1厨2卫,中楼层 (共7层),131.58㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2021-12-15,商品房,2002-12-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
19,['金牛花园 3室2厅 东南'],171,14684,金牛花园,金牛,高家庄,3室2厅1厨1卫,中楼层 (共17层),116.46㎡,平层,96.52㎡,板楼,东南,钢混结构,精装,两梯四户,有,2021-12-08,商品房,2011-05-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
20,['金牛万达D组团 2室1厅 南'],138,18551,金牛万达D组团,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共32层),74.39㎡,平层,暂无数据,塔楼,南,钢混结构,简装,三梯八户,有,2021-12-08,商品房,2015-08-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
