,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['三盛都会城 3室1厅 东南'],108,12736,三盛都会城,龙泉驿,东山,3室1厅1厨1卫,中楼层 (共17层),84.8㎡,平层,67㎡,板塔结合,东南,钢混结构,精装,两梯五户,有,2021-12-21,商品房,2017-05-27,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['百悦城四期 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,百悦城四期,龙泉驿,大面,3室1厅1厨1卫,高楼层 (共41层),92.8㎡,平层,暂无数据,塔楼,东南,框架结构,精装,三梯七户,有,2021-12-22,商品房,2019-09-10,普通住宅,满两年,共有,"
                                有抵押 30万元 工商银行 客户偿还
                              ",已上传房本照片,,,,
2,['东山国际新城H区一期 3室2厅 东南'],126,13098,东山国际新城H区一期,龙泉驿,东山,3室2厅1厨2卫,低楼层 (共18层),96.2㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯四户,有,2021-12-15,商品房,2015-05-01,普通住宅,满五年,非共有,"
                                有抵押 40万元 中国银行24万＋成都银行十多万 客户偿还
                              ",已上传房本照片,,,,
3,['东山国际新城H区二期 3室2厅 东南'],118,12139,东山国际新城H区二期,龙泉驿,东山,3室2厅1厨1卫,高楼层 (共24层),97.21㎡,平层,80.82㎡,塔楼,东南,钢混结构,简装,四梯八户,有,2021-12-13,商品房,2016-08-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
4,['恒大绿洲 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,恒大绿洲,龙泉驿,大面,4室2厅1厨2卫,中楼层 (共11层),138.4㎡,平层,113.79㎡,板楼,南,混合结构,精装,一梯两户,有,2021-11-26,商品房,2015-11-20,普通住宅,满五年,共有,"
                                有抵押 36万元 . 客户偿还
                              ",已上传房本照片,,,,
5,['天悦龙栖台 3室1厅 南'],110,12360,天悦龙栖台,龙泉驿,龙泉驿城区,3室1厅1厨1卫,高楼层 (共33层),89㎡,平层,70.57㎡,塔楼,南,钢混结构,毛坯,三梯六户,有,2021-12-08,商品房,2018-03-28,普通住宅,满两年,非共有,"
                                有抵押 15万元 中国工商银行 业主自还
                              ",已上传房本照片,,,,
6,['东方华美苑 3室1厅 南'],105,9036,东方华美苑,龙泉驿,龙泉驿城区,3室1厅1厨2卫,中楼层 (共6层),116.21㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2021-12-08,商品房,2008-11-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['林溪美城 3室2厅 东'],100,11290,林溪美城,龙泉驿,阳光城,3室2厅1厨2卫,中楼层 (共18层),88.58㎡,平层,74.07㎡,板塔结合,东,钢混结构,精装,两梯六户,有,2021-11-29,商品房,2014-03-27,普通住宅,满五年,非共有,"
                                有抵押 10万元
                              ",已上传房本照片,,,,
8,['龙湖三千庭 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,龙湖三千庭,龙泉驿,大面,3室1厅1厨2卫,高楼层 (共34层),90.22㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-11-28,商品房,2017-11-29,普通住宅,满两年,共有,"
                                有抵押 40万元 工商 业主自还
                              ",已上传房本照片,,,,
9,['保利紫薇花语 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,保利紫薇花语,龙泉驿,大面,3室1厅1厨2卫,低楼层 (共34层),98.03㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,两梯五户,有,2021-11-29,商品房,2017-10-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
