,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['海骏达蜀都1号一期南区 3室1厅 西南'],149.5,12198,海骏达蜀都1号一期南区,郫都,郫县城区,3室1厅1厨2卫,高楼层 (共26层),122.57㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯四户,有,2020-08-09,商品房,2016-03-22,普通住宅,满五年,共有,"
                                有抵押 35万元 郫县中国银行 客户偿还
                              ",未上传房本照片,,,,
1,['中冶中央公园 3室2厅 东南'],94,10599,中冶中央公园,郫都,郫县城区,3室2厅1厨2卫,中楼层 (共32层),88.69㎡,暂无数据,72.56㎡,塔楼,东南,钢混结构,简装,三梯九户,有,2021-12-19,商品房,2017-05-10,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
2,['龙城国际 3室2厅 西北'],168,15403,龙城国际,郫都,橡树湾,3室2厅1厨2卫,高楼层 (共33层),109.07㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,三梯六户,有,2021-12-18,商品房,2017-03-14,普通住宅,满两年,共有,"
                                有抵押 70万元
                              ",已上传房本照片,,,,
3,['龙城国际 4室2厅 东南'],190,13521,龙城国际,郫都,橡树湾,4室2厅1厨2卫,低楼层 (共9层),140.53㎡,错层,暂无数据,板楼,东南,框架结构,毛坯,一梯两户,有,2021-12-22,商品房,2018-02-09,普通住宅,满两年,非共有,"
                                有抵押 15万元
                              ",已上传房本照片,,,,
4,['地矿人家 3室2厅 西南'],85.9,6537,地矿人家,郫都,郫县城区,3室2厅1厨2卫,高楼层 (共18层),131.42㎡,错层,112.82㎡,板塔结合,西南,钢混结构,毛坯,两梯四户,有,2021-12-21,商品房,2010-12-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['西郡兰庭 3室2厅 东南'],143,11486,西郡兰庭,郫都,犀浦,3室2厅1厨2卫,高楼层 (共17层),124.5㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯六户,有,2021-12-21,商品房,2011-12-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
6,['置信逸都D区 3室2厅 东北'],145,11627,置信逸都D区,郫都,郫县万达,3室2厅1厨2卫,中楼层 (共33层),124.71㎡,平层,110㎡,板塔结合,东北,钢混结构,精装,两梯五户,有,2021-12-20,商品房,2019-11-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['一里阳光 3室1厅 东北'],108,9643,一里阳光,郫都,郫县万达,3室1厅1厨2卫,中楼层 (共32层),112㎡,平层,91.37㎡,塔楼,东北,钢混结构,毛坯,两梯六户,有,2021-12-21,商品房,2014-06-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
8,['交大万嘉樟菊园 2室2厅 东南'],89,9776,交大万嘉樟菊园,郫都,犀浦,2室2厅1厨1卫,低楼层 (共26层),91.04㎡,平层,72.48㎡,板塔结合,东南,钢混结构,毛坯,两梯四户,有,2021-12-20,商品房,2017-05-10,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
9,['上善天成二期 3室1厅 西北'],110,9998,上善天成二期,郫都,红光,3室1厅1厨2卫,低楼层 (共11层),110.03㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,一梯三户,有,2021-12-16,商品房,2017-04-10,普通住宅,满两年,共有,"
                                有抵押 24万元 农业银行 金融公司垫资
                              ",已上传房本照片,,,,
10,['西汇佳苑 2室1厅 北'],55,6976,西汇佳苑,郫都,郫县万达,2室1厅1厨1卫,高楼层 (共6层),78.85㎡,平层,66.47㎡,板楼,北,混合结构,简装,一梯两户,无,2021-12-18,商品房,2009-12-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
11,['中铁塔米亚 2室1厅 东南'],104,14613,中铁塔米亚,郫都,成外,2室1厅1厨1卫,中楼层 (共11层),71.17㎡,平层,61.8㎡,板塔结合,东南,框架结构,精装,一梯四户,有,2021-12-19,商品房,2014-08-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
12,['中铁奥维尔 3室1厅 东南'],91.5,10302,中铁奥维尔,郫都,郫县城区,3室1厅1厨2卫,低楼层 (共31层),88.82㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,三梯六户,有,2021-12-16,商品房,2018-11-09,普通住宅,满两年,共有,"
                                有抵押 5万元
                              ",已上传房本照片,,,,
13,['时代水岸康城 4室2厅 西南'],122,11130,时代水岸康城,郫都,红光,4室2厅1厨2卫,中楼层 (共25层),109.62㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯四户,有,2021-12-14,商品房,2016-09-07,普通住宅,满五年,非共有,"
                                有抵押 12万元 工商银行 业主自还
                              ",已上传房本照片,,,,
14,['华邑阳光里 2室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,华邑阳光里,郫都,犀浦,2室1厅1厨1卫,低楼层 (共30层),71.87㎡,平层,暂无数据,板塔结合,东北,钢混结构,精装,两梯六户,有,2021-12-15,商品房,2015-05-19,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
15,['西江月 3室2厅 东南'],121,12801,西江月,郫都,成外,3室2厅1厨1卫,高楼层 (共17层),94.53㎡,平层,79.8㎡,板塔结合,东南,框架结构,精装,两梯五户,有,2021-12-22,商品房,2016-08-17,普通住宅,满五年,非共有,"
                                有抵押 56万元 农行郫都支行按揭48万，二抵8万 业主自还
                              ",已上传房本照片,,,,
