,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['健生翡翠港 5室2厅 东南'],61,4409,健生翡翠港,青白江,青白江,5室2厅1厨2卫,高楼层 (共7层),138.37㎡,跃层,暂无数据,板塔结合,东南,混合结构,其他,一梯三户,无,2021-12-18,商品房,2019-02-12,普通住宅,满两年,非共有,"
                                有抵押 55万元
                              ",已上传房本照片,,,,
1,['天府欧城 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,天府欧城,青白江,青白江,3室2厅1厨1卫,高楼层 (共26层),80.53㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,有,2021-12-13,商品房,2019-12-10,普通住宅,满两年,共有,"
                                有抵押 17万元
                              ",已上传房本照片,,,,
2,['嘉合凤凰岛 2室1厅 西北'],61,8824,嘉合凤凰岛,青白江,青白江,2室1厅1厨1卫,中楼层 (共31层),69.13㎡,平层,暂无数据,板塔结合,西北,钢混结构,毛坯,三梯六户,有,2021-12-21,商品房,2018-01-05,普通住宅,满两年,非共有,"
                                有抵押 20万元 成都银行 客户偿还
                              ",已上传房本照片,,,,
3,['瑞居海布斯卡 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,瑞居海布斯卡,青白江,青白江,3室2厅1厨1卫,中楼层 (共26层),98.51㎡,平层,暂无数据,板塔结合,西南,钢混结构,简装,三梯六户,有,2021-11-30,商品房,2016-06-13,普通住宅,满五年,非共有,"
                                有抵押 17万元 客户偿还
                              ",已上传房本照片,,,,
4,['金色港湾(凤祥大道) 4室2厅 西南'],75.5,6926,金色港湾(凤祥大道),青白江,青白江,4室2厅1厨2卫,中楼层 (共18层),109.02㎡,平层,暂无数据,板塔结合,西南,框架结构,精装,两梯四户,有,2021-11-29,商品房,2018-09-18,普通住宅,满两年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
5,['青江华庭A区 3室2厅 南'],50.5,5548,青江华庭A区,青白江,青白江,3室2厅1厨1卫,中楼层 (共6层),91.03㎡,平层,85㎡,暂无数据,南,未知结构,简装,一梯两户,暂无数据,2021-12-10,商品房,2015-12-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
6,['恒大雅苑 2室1厅 南'],52.8,6048,恒大雅苑,青白江,青白江,2室1厅1厨1卫,中楼层 (共33层),87.31㎡,平层,暂无数据,塔楼,南,框架结构,毛坯,两梯四户,有,2021-12-11,商品房,2018-12-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
7,['幸福家园新河湾 3室1厅 南'],67,6703,幸福家园新河湾,青白江,青白江,3室1厅1厨1卫,低楼层 (共28层),99.97㎡,平层,暂无数据,塔楼,南,框架结构,简装,两梯六户,有,2021-12-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 35万元 可以商量
                              ",未上传房本照片,,,,
8,['锦尚景 2室2厅 东南'],51,6792,锦尚景,青白江,青白江,2室2厅1厨1卫,低楼层 (共11层),75.09㎡,平层,66.6㎡,板楼,东南,框架结构,精装,一梯四户,无,2021-12-14,商品房,2011-10-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
9,['中华名城1期 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,中华名城1期,青白江,青白江,3室1厅1厨2卫,中楼层 (共16层),120.66㎡,平层,暂无数据,板塔结合,东南,框架结构,精装,两梯四户,有,2021-12-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
10,['幸福家园新河湾 3室2厅 南 东南'],67.5,6757,幸福家园新河湾,青白江,青白江,3室2厅1厨1卫,低楼层 (共28层),99.9㎡,平层,88.69㎡,塔楼,南 东南,钢混结构,精装,两梯六户,有,2021-08-28,商品房,2012-08-26,普通住宅,满五年,共有,"
                                有抵押 10万元 业主自还
                              ",已上传房本照片,,,,
11,['天府欧城 3室1厅 东南'],75,7264,天府欧城,青白江,青白江,3室1厅1厨1卫,中楼层 (共26层),103.26㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯五户,有,2021-11-17,商品房,2017-08-24,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,,,,
12,['合谊同华 3室2厅 东南 西南'],80.2,7752,合谊同华,青白江,青白江,3室2厅1厨2卫,中楼层 (共6层),103.47㎡,平层,暂无数据,板塔结合,东南 西南,钢混结构,毛坯,两梯两户,有,2021-03-26,商品房,2018-03-05,普通住宅,满两年,非共有,"
                                有抵押 44万元 工商银行 业主自还
                              ",已上传房本照片,,,,
13,['公园世家 3室1厅 东'],66.5,7646,公园世家,青白江,青白江,3室1厅1厨1卫,低楼层 (共25层),86.98㎡,平层,暂无数据,塔楼,东,钢混结构,毛坯,两梯五户,有,2021-10-21,商品房,2018-12-10,普通住宅,满两年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片,,,,
14,['幸福家园新河湾 3室2厅 东南 南'],69,5437,幸福家园新河湾,青白江,青白江,3室2厅1厨1卫,高楼层 (共6层),126.92㎡,平层,112.36㎡,塔楼,东南 南,钢混结构,精装,一梯两户,暂无数据,2021-09-22,商品房,2014-03-03,普通住宅,满五年,非共有,"
                                有抵押 15万元 客户偿还
                              ",已上传房本照片,,,,
15,['誉府仕家 4室2厅 东 东北'],103,8429,誉府仕家,青白江,青白江,4室2厅1厨2卫,高楼层 (共33层),122.2㎡,平层,暂无数据,板塔结合,东 东北,框架结构,毛坯,两梯四户,有,2021-10-14,商品房,2018-08-21,普通住宅,满两年,共有,"
                                有抵押 15万元 建设银行 业主自还
                              ",已上传房本照片,,,,
16,['七里溪香 2室2厅 东南'],51.8,6737,七里溪香,青白江,青白江,2室2厅1厨1卫,低楼层 (共6层),76.9㎡,平层,65.2㎡,板楼,东南,框架结构,简装,一梯两户,无,2021-10-07,商品房,2013-03-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
17,['宏瑞阳光郦城 2室2厅 东北'],56,6951,宏瑞阳光郦城,青白江,青白江,2室2厅1厨1卫,高楼层 (共17层),80.57㎡,平层,暂无数据,塔楼,东北,钢混结构,毛坯,两梯四户,有,2021-08-27,商品房,2016-03-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
18,['中华名城1期 2室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,中华名城1期,青白江,青白江,2室2厅1厨1卫,中楼层 (共28层),67.2㎡,平层,60㎡,板塔结合,东南,混合结构,精装,两梯六户,有,2021-07-11,商品房,2015-07-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
19,['瀚城国际 2室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,瀚城国际,青白江,青白江,2室1厅1厨1卫,中楼层 (共30层),77.19㎡,平层,62.33㎡,塔楼,南,钢混结构,精装,两梯五户,有,2021-10-23,商品房,2017-11-30,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
20,['誉府仕家 3室2厅 北 西南'],72,8109,誉府仕家,青白江,青白江,3室2厅1厨1卫,高楼层 (共33层),88.8㎡,平层,暂无数据,板塔结合,北 西南,框架结构,毛坯,两梯五户,有,2021-11-26,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 16万元 业主自还
                              ",未上传房本照片,,,,
21,['北城映像东区 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,北城映像东区,青白江,青白江,3室2厅1厨1卫,中楼层 (共18层),96.5㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-08,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,,
22,['怡景阳光(石家碾东路) 1室1厅 北'],28,6180,怡景阳光(石家碾东路),青白江,青白江,1室1厅1厨1卫,中楼层 (共15层),45.31㎡,平层,暂无数据,塔楼,北,框架结构,其他,两梯八户,有,2021-08-29,商品房,2011-09-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
23,['春天华逸 3室2厅 北 南'],72,8276,春天华逸,青白江,青白江,3室2厅1厨1卫,高楼层 (共18层),87㎡,平层,暂无数据,板楼,北 南,框架结构,精装,两梯五户,有,2021-12-17,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,,
24,['锦尚景 4室2厅 南'],97,7282,锦尚景,青白江,青白江,4室2厅1厨2卫,高楼层 (共7层),133.22㎡,跃层,116.54㎡,暂无数据,南,未知结构,精装,一梯四户,无,2021-09-03,商品房,2011-10-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
25,['春天华逸 2室2厅 东南'],53.5,8540,春天华逸,青白江,青白江,2室2厅1厨1卫,中楼层 (共18层),62.65㎡,平层,47.53㎡,板楼,东南,钢混结构,精装,两梯八户,有,2021-11-14,商品房,2014-01-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
26,['大邦第1城 3室2厅 南'],56.5,6209,大邦第1城,青白江,青白江,3室2厅1厨1卫,低楼层 (共16层),91㎡,平层,暂无数据,板塔结合,南,框架结构,精装,两梯四户,有,2021-05-21,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 42万元
                              ",未上传房本照片,,,,
27,['天骄星城翰林院 3室2厅 北'],77.8,6175,天骄星城翰林院,青白江,青白江,3室2厅1厨2卫,高楼层 (共11层),126㎡,平层,暂无数据,塔楼,北,框架结构,精装,两梯六户,有,2021-06-27,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,,
28,['怡城北居 3室2厅 南'],51.8,4797,怡城北居,青白江,青白江,3室2厅1厨2卫,中楼层 (共17层),108㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯四户,暂无数据,2021-11-05,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,,,,
29,['嘉和世纪城 2室1厅 东南'],65,7460,嘉和世纪城,青白江,青白江,2室1厅1厨1卫,高楼层 (共28层),87.14㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯五户,有,2021-12-03,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 10万元
                              ",未上传房本照片,,,,
30,['宏瑞阳光郦城 3室1厅 南'],62.1,6572,宏瑞阳光郦城,青白江,青白江,3室1厅1厨2卫,中楼层 (共25层),94.5㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯五户,有,2021-10-14,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
31,['凤凰1号•栖云湖 3室1厅 西南'],65,7541,凤凰1号•栖云湖,青白江,青白江,3室1厅1厨1卫,低楼层 (共29层),86.2㎡,平层,暂无数据,板楼,西南,钢混结构,毛坯,两梯四户,有,2021-07-28,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 10万元
                              ",未上传房本照片,,,,
32,['凤凰1号•栖云湖 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,凤凰1号•栖云湖,青白江,青白江,3室2厅1厨2卫,中楼层 (共32层),105.71㎡,平层,暂无数据,板楼,东南,钢混结构,毛坯,两梯四户,有,2021-11-16,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 20万元 建设银行 业主自还
                              ",未上传房本照片,,,,
