,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['和贵久居福 3室1厅 南'],152,13001,和贵久居福,双流,航空港,3室1厅1厨1卫,高楼层 (共18层),116.92㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯四户,有,2021-10-10,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
1,['蜀镇·锦丽湾 3室2厅 南'],157,12063,蜀镇·锦丽湾,双流,蛟龙港,3室2厅2厨2卫,低楼层 (共19层),130.16㎡,平层,109.22㎡,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-21,商品房,2016-01-04,普通住宅,满五年,共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,,,,
2,['和贵久居福 3室1厅 南'],140,15551,和贵久居福,双流,航空港,3室1厅1厨1卫,中楼层 (共17层),90.03㎡,平层,74.7㎡,塔楼,南,钢混结构,精装,两梯七户,有,2021-12-18,商品房,2012-11-27,普通住宅,满五年,非共有,"
                                有抵押 15万元 农业银行
                              ",已上传房本照片,,,,
3,['翰林南城 3室1厅 南'],125,11933,翰林南城,双流,航空港,3室1厅1厨1卫,高楼层 (共6层),104.76㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2021-12-22,商品房,2007-12-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
4,['文星花园 3室1厅 东南'],175,12850,文星花园,双流,航空港,3室1厅1厨2卫,中楼层 (共18层),136.19㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,两梯四户,有,2021-12-20,商品房,2017-01-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['华润公园九里 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,华润公园九里,双流,蛟龙港,3室1厅1厨1卫,低楼层 (共27层),78.07㎡,平层,68㎡,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-14,商品房,2019-06-17,普通住宅,满两年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,,,,
6,['蓝光圣菲悦城二期 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,蓝光圣菲悦城二期,双流,航空港,3室2厅1厨1卫,中楼层 (共20层),79.43㎡,平层,暂无数据,板塔结合,西南,框架结构,精装,两梯六户,有,2021-12-07,商品房,2019-05-25,普通住宅,满两年,共有,"
                                有抵押 38万元 中国银行
                              ",已上传房本照片,,,,
7,['棠府锦绣城 3室2厅 北'],147,16390,棠府锦绣城,双流,蛟龙港,3室2厅1厨2卫,中楼层 (共14层),89.69㎡,平层,76㎡,板塔结合,北,钢混结构,简装,两梯六户,有,2021-12-03,商品房,2019-08-13,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
8,['南湖逸家二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,南湖逸家二期,双流,华府,3室2厅1厨1卫,高楼层 (共34层),74.09㎡,平层,58.08㎡,板塔结合,南,钢混结构,精装,两梯六户,有,2021-12-03,商品房,2016-10-29,普通住宅,满五年,共有,"
                                有抵押 20万元 建行 客户偿还
                              ",已上传房本照片,,,,
9,['大成郡 3室1厅 东 西'],暂无数据,首付及贷款情况请咨询经纪人,大成郡,双流,航空港,3室1厅1厨1卫,中楼层 (共15层),96.22㎡,平层,82.35㎡,塔楼,东 西,钢混结构,简装,两梯六户,有,2021-12-13,商品房,2016-04-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
10,['香楠湖 3室1厅 东南 南'],139,12900,香楠湖,双流,双流城区,3室1厅1厨1卫,低楼层 (共16层),107.76㎡,平层,94.06㎡,塔楼,东南 南,钢混结构,精装,两梯四户,有,2021-12-12,商品房,2017-01-05,普通住宅,满两年,非共有,"
                                有抵押 33万元 中国农行双流支行 业主自还
                              ",已上传房本照片,,,,
11,['川大河畔 2室2厅 东'],110,13691,川大河畔,双流,航空港,2室2厅1厨1卫,高楼层 (共6层),80.35㎡,平层,暂无数据,板楼,东,混合结构,精装,一梯三户,无,2021-12-20,商品房,2016-12-01,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
12,['和贵久居福 2室1厅 南'],119,13646,和贵久居福,双流,航空港,2室1厅1厨1卫,高楼层 (共17层),87.21㎡,平层,暂无数据,塔楼,南,钢混结构,简装,两梯四户,有,2021-12-23,商品房,2009-08-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
13,['和贵久居福 2室2厅 东南 南'],122,14017,和贵久居福,双流,航空港,2室2厅1厨1卫,中楼层 (共18层),87.04㎡,平层,暂无数据,塔楼,东南 南,钢混结构,精装,两梯五户,有,2021-12-23,商品房,2017-11-29,普通住宅,满两年,非共有,"
                                有抵押 50万元 农行锦城支行 客户偿还
                              ",已上传房本照片,,,,
14,['弗客水岸 2室2厅 南'],100,12904,弗客水岸,双流,航空港,2室2厅1厨1卫,中楼层 (共16层),77.5㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯七户,有,2021-12-24,商品房,2018-11-23,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
15,['新航印象 3室1厅 北'],115,11660,新航印象,双流,航空港,3室1厅1厨2卫,中楼层 (共6层),98.63㎡,平层,暂无数据,板塔结合,北,钢混结构,简装,一梯两户,无,2021-12-15,商品房,2011-06-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
