,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['航天大院 3室2厅 东南'],82,6857,航天大院,温江,温江老城,3室2厅1厨2卫,高楼层 (共6层),119.6㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2021-12-19,商品房,2007-12-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['和谐小区(温江) 3室2厅 东南'],68,6433,和谐小区(温江),温江,温江老城,3室2厅1厨1卫,中楼层 (共6层),105.72㎡,平层,105.72㎡,板楼,东南,砖混结构,简装,一梯三户,无,2019-04-11,商品房,2016-03-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
2,['边城香格里 5室2厅 东南'],235,13259,边城香格里,温江,光华大道沿线,5室2厅1厨3卫,低楼层 (共5层),177.25㎡,跃层,161.09㎡,板塔结合,东南,钢混结构,毛坯,一梯两户,无,2021-12-24,商品房,2013-05-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
3,['边城香格里 4室2厅 南'],138,11949,边城香格里,温江,光华大道沿线,4室2厅1厨2卫,低楼层 (共24层),115.5㎡,平层,87.62㎡,板塔结合,南,钢混结构,简装,两梯四户,有,2021-12-14,商品房,2017-03-14,普通住宅,满两年,非共有,"
                                有抵押 40万元 客户偿还
                              ",已上传房本照片,,,,
4,['公园大道 3室1厅 西'],130,14581,公园大道,温江,光华大道沿线,3室1厅1厨1卫,高楼层 (共29层),89.16㎡,平层,71.38㎡,板塔结合,西,钢混结构,毛坯,三梯六户,有,2021-12-22,商品房,2014-07-19,普通住宅,满五年,共有,"
                                有抵押 15万元 客户偿还
                              ",已上传房本照片,,,,
5,['中铁丽景书香 3室2厅 南'],139,13114,中铁丽景书香,温江,温江大学城,3室2厅1厨2卫,高楼层 (共29层),106㎡,平层,86.98㎡,板塔结合,南,钢混结构,精装,三梯六户,有,2021-12-22,商品房,2015-09-17,普通住宅,满五年,共有,"
                                有抵押 10万元 中国银行 客户偿还
                              ",已上传房本照片,,,,
6,['七彩花都A区 4室2厅 西南'],137,13870,七彩花都A区,温江,花都大道,4室2厅1厨2卫,高楼层 (共5层),98.78㎡,跃层,暂无数据,板楼,西南,砖混结构,精装,一梯两户,无,2021-12-07,商品房,2017-12-29,普通住宅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片,,,,
7,['月映长滩栖湖 3室1厅 西南'],80,9031,月映长滩栖湖,温江,温江大学城,3室1厅1厨2卫,中楼层 (共21层),88.59㎡,平层,暂无数据,板塔结合,西南,钢混结构,毛坯,两梯五户,有,2021-12-21,商品房,2015-11-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",未上传房本照片,,,,
8,['德坤恬园 3室1厅 东 东南 西南'],63,7135,德坤恬园,温江,温江大学城,3室1厅1厨1卫,低楼层 (共6层),88.3㎡,平层,77.93㎡,板楼,东 东南 西南,砖混结构,精装,一梯两户,暂无数据,2021-12-23,商品房,2012-07-24,普通住宅,满五年,共有,"
                                有抵押 18万元 农业银行＋平安普惠 客户偿还
                              ",已上传房本照片,,,,
9,['那城 3室2厅 南'],89.5,7487,那城,温江,温江老城,3室2厅1厨2卫,高楼层 (共6层),119.55㎡,跃层,暂无数据,板楼,南,砖混结构,毛坯,一梯四户,无,2021-12-22,商品房,2008-07-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
10,['玺龙湾 4室2厅 西南'],185,13344,玺龙湾,温江,温江老城,4室2厅1厨2卫,高楼层 (共32层),138.64㎡,平层,暂无数据,板塔结合,西南,钢混结构,毛坯,两梯四户,有,2021-12-22,商品房,2019-04-25,普通住宅,满两年,共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,,,,
