,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
0,['清荷苑 5室2厅 东南'],385,19219,清荷苑,武侯,五大花园,5室2厅1厨3卫,中楼层 (共4层),200.33㎡,平层,190㎡,板楼,东南,钢混结构,简装,一梯一户,无,2018-03-22,商品房,2010-11-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
1,['四川艺术职业技术学院 4室1厅 南'],145,11130,四川艺术职业技术学院,武侯,川音,4室1厅1厨2卫,高楼层 (共7层),130.28㎡,平层,120㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-12-16,商品房,2021-12-16,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
2,['城南驿站 3室1厅 北'],198,16864,城南驿站,武侯,火车南站,3室1厅1厨2卫,中楼层 (共6层),117.41㎡,平层,117.41㎡,板楼,北,混合结构,简装,一梯四户,无,2021-12-07,商品房,2008-11-14,普通住宅,满五年,共有,"
                                有抵押 70万元
                              ",已上传房本照片,
3,['优地A区 2室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,优地A区,武侯,丽都,2室1厅1厨1卫,低楼层 (共16层),55.7㎡,平层,45.79㎡,板楼,西南,框架结构,精装,四梯十四户,有,2021-12-15,商品房,2016-05-13,普通住宅,满五年,非共有,"
                                有抵押 40万元 乐山银行 业主自还
                              ",已上传房本照片,
4,['双楠锐派 2室1厅 西南'],125,18503,双楠锐派,武侯,五大花园,2室1厅1厨1卫,高楼层 (共8层),67.56㎡,平层,54.7㎡,板楼,西南,钢混结构,简装,两梯六户,有,2021-07-09,商品房,2015-06-10,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
5,['红馆 3室1厅 东南'],190,15381,红馆,武侯,红牌楼,3室1厅1厨2卫,中楼层 (共11层),123.53㎡,平层,107.37㎡,板塔结合,东南,钢混结构,简装,两梯四户,有,2021-12-04,商品房,2011-08-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
6,['玉林北街70号 2室1厅 南 北'],87,12972,玉林北街70号,武侯,玉林,2室1厅1厨1卫,低楼层 (共6层),67.07㎡,错层,暂无数据,暂无数据,南 北,未知结构,简装,一梯两户,无,2021-12-11,商品房,1998-06-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
7,['牡丹名邸 3室2厅 南'],225,17774,牡丹名邸,武侯,桐梓林,3室2厅1厨2卫,高楼层 (共9层),126.59㎡,平层,108.61㎡,板塔结合,南,钢混结构,简装,一梯两户,有,2021-12-15,商品房,2005-10-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
8,['水漪袅铜 3室2厅 南 北'],238,20355,水漪袅铜,武侯,航空路,3室2厅1厨2卫,低楼层 (共12层),116.93㎡,平层,暂无数据,板楼,南 北,框架结构,精装,一梯两户,有,2021-12-13,商品房,2006-12-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
9,['长寿苑 3室1厅 南'],120,14658,长寿苑,武侯,火车南站,3室1厅1厨1卫,中楼层 (共7层),81.87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,无,2021-12-15,商品房,2013-09-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
10,['龙锦晓筑 3室2厅 东南'],137,15260,龙锦晓筑,武侯,簇桥,3室2厅1厨2卫,低楼层 (共15层),89.78㎡,平层,75.48㎡,板楼,东南,钢混结构,精装,两梯六户,有,2021-12-08,商品房,2010-10-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
11,['首航欣程 2室1厅 东北'],192,27706,首航欣程,武侯,棕北,2室1厅1厨1卫,中楼层 (共32层),69.3㎡,平层,67.07㎡,塔楼,东北,框架结构,简装,三梯七户,有,2021-12-09,拆迁安置房,2015-06-24,普通住宅,满五年,非共有,"
                                有抵押 40万元 中信银行 业主自还
                              ",已上传房本照片,
