,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
0,['保利大都汇·君汇 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,保利大都汇·君汇,新都,大丰,4室2厅1厨2卫,中楼层 (共33层),131㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯五户,有,2021-12-08,商品房,2019-11-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1,['北欧知识城一期 2室1厅 西'],92,12531,北欧知识城一期,新都,大丰,2室1厅1厨1卫,高楼层 (共30层),73.42㎡,平层,59.52㎡,板塔结合,西,钢混结构,精装,三梯六户,有,2021-12-15,商品房,2014-06-10,普通住宅,满五年,共有,"
                                有抵押 9万元
                              ",已上传房本照片,,,,
2,['保利公园198百合郡 3室2厅 东南 西北'],141,11999,保利公园198百合郡,新都,保利公园,3室2厅1厨2卫,中楼层 (共18层),117.51㎡,平层,98.44㎡,板塔结合,东南 西北,钢混结构,毛坯,两梯四户,有,2021-12-20,商品房,2011-12-14,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
3,['中洲·中央公园 4室2厅 南'],190,12613,中洲·中央公园,新都,保利公园,4室2厅1厨2卫,中楼层 (共24层),150.64㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯三户,有,2021-12-23,商品房,2018-11-20,普通住宅,满两年,非共有,"
                                有抵押 80万元 中国民生银行成都分行 客户偿还
                              ",已上传房本照片,,,,
4,['东骏湖景湾一期 4室2厅 西北'],220,14431,东骏湖景湾一期,新都,新都城区,4室2厅1厨2卫,高楼层 (共25层),152.46㎡,平层,120.25㎡,板塔结合,西北,钢混结构,简装,一梯五户,有,2021-12-20,商品房,2010-03-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
5,['北欧知识城二期 4室1厅 东'],136,12554,北欧知识城二期,新都,大丰,4室1厅1厨2卫,中楼层 (共18层),108.34㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯五户,有,2021-10-07,商品房,2015-09-02,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
6,['富力桃园A区 3室1厅 东南'],128,9949,富力桃园A区,新都,毗河,3室1厅1厨2卫,低楼层 (共32层),128.66㎡,平层,107.77㎡,板楼,东南,框架结构,简装,两梯五户,有,2021-12-18,商品房,2012-03-21,普通住宅,满五年,共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,,,,
7,['万科双水岸 4室2厅 东南'],148,11552,万科双水岸,新都,毗河,4室2厅1厨2卫,低楼层 (共18层),128.12㎡,平层,暂无数据,板塔结合,东南,框架结构,简装,两梯四户,有,2021-12-20,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 123万元 金融公司垫资
                              ",未上传房本照片,,,,
8,['源上湾国际社区千叶郡 3室2厅 东'],125,11787,源上湾国际社区千叶郡,新都,新都城区,3室2厅1厨2卫,高楼层 (共29层),106.05㎡,平层,暂无数据,板塔结合,东,钢混结构,毛坯,两梯五户,有,2021-12-04,商品房,2015-12-09,普通住宅,满五年,共有,"
                                有抵押 27万元 客户偿还
                              ",已上传房本照片,,,,
9,['保利城一期 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,保利城一期,新都,大丰,3室1厅1厨2卫,低楼层 (共19层),103.11㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,2021-09-23,商品房,2015-08-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
10,['交大香洲半岛南庭 3室2厅 东南'],156,11849,交大香洲半岛南庭,新都,毗河,3室2厅1厨2卫,高楼层 (共11层),131.66㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯两户,有,2021-12-08,商品房,2016-11-21,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
